STATUS,PACKETCODE,SHAPE,CRTWT,COL,CLR,rapaport,CUT,POL,SYM,FLOURESENCE,NATTS,COL-SHADE,MILKY,eye_clean,DIA_MN,DIA_MX,DPL,TBL,HT,LW,LAB,type2a_name,heart_and_arrow,measurement,GIRDLE,LN,WD,CA,CH,PA,PD,KTSVIEW,CERT_NO,COMMENT,LOC,INS,ARRIMG,CERTIMG,VIDEOS,VIDEOS_MP4,ASSET_PATH,HRTIMG,DIAMONDIMG,TYPE2A_PATH,PLOTIMG,EFCM,Culet,Origin,ROUGH_PHOTO_PATH,ROUGH_PLAN_PATH,Process Carat,final_carat,is_fancy,final_discount,RTE,final_amount
MKAV,3325534,ROUND,16.71,I,VS2,38500.0,EX,EX,EX,MED,YT1,NB,NO,EC0,16.11,16.24,62.7,58.0,10.15,null,GIA,null,NO,16.11*16.24-10.15,STK,null,null,36.0,15.5,40.8,43.0,Crystal  Feather  Needle,1216931945,Pinpoints are not shown. Clouds are not shown.,MUMBAI,GIA 1216931945 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1216931945.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3325534.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3325534.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3325534.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3325534.jpg,,,NO,0.15,NAMIBIA,,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3325534.png,25.45,16.71,0,-19.0,31185.0,521101.35
MKAV,1752288,ROUND,8.02,D,SI1,39500.0,EX,EX,EX,NON,YT1,NB,NO,EC2,12.68,12.79,62.5,59.0,7.95,null,GIA,null,NO,12.68*12.79-7.95,STK,null,null,33.5,13.5,41.6,44.5,Crystal  Feather  Cloud,5212048162,Additional clouds are not shown. Pinpoints are not shown.,MUMBAI,GIA 5212048162 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/5212048162.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1752288.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1752288.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1752288.jpg,,,NO,0.22,NAMIBIA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1752288.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1752288.png,14.56,8.02,0,-23.4988,30218.0,242348.36
MKAV,1141954,ROUND,7.67,J,SI2,15000.0,EX,EX,EX,NON,YT1,NB,NO,EC2,12.46,12.55,62.0,59.0,7.76,null,GIA,null,NO,12.46*12.55-7.76,STK,null,null,35.5,15.0,40.8,43.0,Crystal  Pinpoint,1216919773,Clouds are not shown.,MUMBAI,GIA 1216919773 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1216919773.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1141954.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1141954.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1141954.jpg,,,NO,0.23,RUSSIA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/1141954.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/1141954.png,11.83,7.67,0,-6.5,14025.0,107571.75
MKAV,1009092,ROUND,7.2,D,I2,4800.0,VG,VG,VG,FNT,YT,NB,NO,EC2,11.91,12.05,64.68,55.1,7.76,null,NON,null,NO,11.91*12.05-7.76,STK TO THK,null,null,38.59,17.94,39.8,41.57,null,null,null,MUMBAI,null,,,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1009092.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1009092.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1009092.jpg,,,NO,0.26,ANGOLA,,,10.66,7.2,0,-37.5,3000.0,21600.0
MKAV,6107001,ROUND,6.35,L,VS2,12500.0,EX,EX,EX,NON,YT,NB,NO,EC0,11.73,11.81,62.9,58.0,7.4,null,GIA,null,null,11.73*11.81-7.40,STK,null,null,33.5,14.0,41.6,44.5,Feather  Cloud  Crystal  Needle,1397581565,Additional clouds  pinpoints and internal graining are not shown.,HONGKONG,GIA 1397581565 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6107001.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1397581565.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6107001.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6107001.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6107001.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6107001.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6107001.jpg,,,,null,NAMIBIA,,,null,6.35,0,-27.0,9125.0,57943.75
MKAV,6113004,ROUND,6.08,I,SI1,20500.0,EX,EX,EX,MED,YES,NB,NO,EC0,11.59,11.68,62.7,58.0,7.29,null,GIA,null,null,11.59*11.68-7.29,MED TO STK,null,null,33.5,14.0,41.8,44.5,Crystal  Feather  Cloud  Needle,7401445559,Additional clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 7401445559 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6113004.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/7401445559.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6113004.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6113004.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6113004.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6113004.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6113004.jpg,,,,null,,,,null,6.08,0,-27.0,14965.0,90987.2
MKAV,3386856,ROUND,6.06,FANCY LIGHT BROWN-GREENISH YELLOW,SI1,0.0,EX,EX,EX,FNT,YES,MIX-T,NO,EC2,11.55,11.64,62.4,57.0,7.23,null,GIA,null,NO,11.55*11.64-7.23,MED TO STK,null,null,36.14,15.73,40.53,42.64,Crystal  Feather  Needle,2215651458,Clouds are not shown. Pinpoints are not shown.,MUMBAI,GIA 2215651458 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2215651458.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3386856.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3386856.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/3386856.jpg,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3386856.jpg,,,NO,0.23,ANGOLA,,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3386856.png,9.89,6.06,1,0.0,4550.0,27573.0
MKAV,3733331,ROUND,5.07,E,VVS2,67000.0,EX,EX,EX,FNT,NO,NB,NO,EC0,10.98,11.05,60.8,60.0,6.69,null,GIA,null,NO,10.98*11.05-6.69,MED TO STK,null,null,34.0,13.5,40.8,43.0,Pinpoint,2215863177,Additional pinpoints are not shown.,MUMBAI,GIA 2215863177 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3733331.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2215863177.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3733331.html,,https://d1wzmxdlubs910.cloudfront.net/ASSET/3733331.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3733331.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3733331.jpg,,,NO,0.24,NAMIBIA,,,7.38,5.07,0,-47.0,35510.0,180035.7
MKAV,6107003,ROUND,5.01,H,VVS2,39000.0,EX,EX,EX,NON,NO,NB,NO,EC0,10.94,11.04,61.1,61.0,6.71,null,GIA,null,null,10.94*11.04-6.71,STK,null,null,32.5,12.5,41.4,44.0,Pinpoint  Needle,1399347282,Additional pinpoints are not shown.,HONGKONG,GIA 1399347282 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1399347282.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6107003.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6107003.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6107003.jpg,,,,null,NAMIBIA,,,null,5.01,0,-32.0,26520.0,132865.2
MKAV,47528,ROUND,5.99,I,VVS2,30000.0,EX,EX,EX,NON,NO,NONE,NO,null,null,null,60.0,60.0,7.12,null,HRD,null,null,11.83 - 11.90 mm x 7.12 mm,MED,11.83,11.9,32.0,12.5,41.6,44.5,,200000047422,null,BELGIUM,null,,,,,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/47528.jpg,,,,null,,,,null,5.99,0,-50.0,15000.0,89850.0
MKAV,6112006,ROUND,5.01,O-P,VVS2,12500.0,EX,EX,EX,NON,NO,NB,NO,EC0,10.84,10.91,62.3,59.0,6.78,null,GIA,null,null,10.84*10.91-6.78,STK,null,null,34.5,14.0,41.2,43.5,Pinpoint  Cloud,6395825690,null,HONGKONG,GIA 6395825690 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6112006.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6395825690.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6112006.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6112006.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6112006.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6112006.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6112006.jpg,,,,null,NAMIBIA,,,null,5.01,0,-45.0,6875.0,34443.75
MKAV,3356,ROUND,5.01,F,VS1,53500.0,EX,EX,EX,NON,YT,NB,NO,EC0,10.98,11.01,62.2,57.0,6.84,null,GIA,null,null,10.98*11.01-6.84,MED TO STK,null,null,34.0,14.5,41.6,44.5,Cloud  Feather  Needle  Pinpoint,2211685135,null,HONGKONG,GIA 2211685135,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2211685135.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3356.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3356.mp4,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3356.jpg,,,,null,,,,null,5.01,0,-33.4991,35578.0,178245.78
MKAV,49284,ROUND,5.51,H,VS1,35000.0,EX,EX,EX,NON,null,NONE,NO,null,null,null,61.9,58.0,7.04,null,HRD,null,null,11.32 - 11.40 mm x 7.04 mm,MED,11.32,11.4,33.1,13.5,41.8,44.5,,210000044940,null,BELGIUM,null,,,,,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/49284.jpg,,,,null,,,,null,5.51,0,-52.0,16800.0,92568.0
MKAV,6119001,ROUND,5.42,J,VS1,21500.0,EX,EX,EX,NON,NO,NB,NO,EC0,11.19,11.27,62.3,59.0,6.99,null,GIA,null,null,11.19*11.27-6.99,STK,null,null,32.5,13.5,41.8,44.5,Crystal  Feather  Pinpoint  Cloud,7398825643,Additional pinpoints are not shown.,HONGKONG,GIA 7398825643 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6119001.jpg,,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6119001.html,,https://d1wzmxdlubs910.cloudfront.net/ASSET/6119001.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6119001.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6119001.jpg,,,,null,NAMIBIA,,,null,5.42,0,-27.0,15695.0,85066.9
MKAV,6107008,ROUND,5.0,J,VS1,21500.0,EX,EX,EX,NON,NO,NB,NO,EC0,10.89,10.98,62.4,57.0,6.83,null,GIA,null,null,10.89*10.98-6.83,STK,null,null,32.0,13.5,41.8,44.5,Feather  Pinpoint,1399581614,null,HONGKONG,GIA 1399581614 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6107008.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/1399581614.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6107008.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6107008.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/6107008.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6107008.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6107008.jpg,,,,null,NAMIBIA,,,null,5.0,0,-29.4977,15158.0,75790.0
MKAV,3000856,ROUND,5.72,F,VS2,45000.0,EX,EX,EX,NON,YT,NB,NO,EC0,11.42,11.5,61.4,58.0,7.03,null,GIA,null,YES,11.42*11.50-7.03,MED TO STK,null,null,34.0,14.0,41.0,43.5,Crystal  Feather  Needle,6217750755,Clouds are not shown. Pinpoints are not shown.,MUMBAI,GIA 6217750755 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3000856.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6217750755.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3000856.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3000856.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/3000856.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3000856.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3000856.jpg,,,NO,0.26,NAMIBIA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/3000856.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3000856.png,9.04,5.72,0,-33.0,30150.0,172458.0
MKAV,3557217,ROUND,5.33,F,VS2,45000.0,EX,EX,EX,NON,YT,NB,NO,EC0,11.11,11.17,61.7,58.0,6.87,null,GIA,null,YES,11.11*11.17-6.87,STK,null,null,35.5,15.0,40.6,43.0,Crystal  Feather  Needle,2215800423,Clouds  pinpoints  internal graining and surface graining are not shown.,MUMBAI,GIA 2215800423 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3557217.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/2215800423.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3557217.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3557217.mp4,,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3557217.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3557217.jpg,,,NO,0.24,NAMIBIA,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PHOTO/3557217.jpg,https://d1wzmxdlubs910.cloudfront.net/ROUGH_PLANNING/3557217.png,11.49,5.33,0,-35.5,29025.0,154703.25
MKAV,3969083,ROUND,5.02,I,VS2,24000.0,GD,VG,VG,NON,YT1,LB,NO,EC0,10.32,10.48,66.4,58.0,6.91,null,GIA,null,NO,10.32*10.48-6.91,THK TO VTK,null,null,40.0,17.5,40.0,42.0,Crystal  Needle,6214889570,Clouds  pinpoints and internal graining are not shown.,MUMBAI,GIA 6214889570 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/3969083.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6214889570.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3969083.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/3969083.mp4,,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/3969083.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3969083.jpg,,,NO,0.28,NAMIBIA,,,10.56,5.02,0,-52.0,11520.0,57830.4
MKAV,6106006,ROUND,5.13,J,VS2,20000.0,EX,EX,EX,NON,YT1,NB,NO,EC0,11.13,11.17,60.8,59.0,6.78,null,GIA,null,null,11.13*11.17-6.78,MED TO STK,null,null,32.0,12.5,41.6,44.0,Crystal  Feather  Cloud  Needle,6392347335,Additional clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 6392347335 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6106006.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6392347335.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6106006.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6106006.mp4,,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6106006.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6106006.jpg,,,,null,NAMIBIA,,,null,5.13,0,-30.5,13900.0,71307.0
MKAV,6106002,ROUND,5.1,J,VS2,20000.0,EX,EX,EX,NON,YT1,NB,NO,EC0,10.99,11.05,61.9,56.0,6.82,null,GIA,null,null,10.99*11.05-6.82,STK,null,null,32.0,14.0,41.2,43.5,Feather  Crystal  Needle,3395347360,Clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 3395347360 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6106002.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/3395347360.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6106002.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/6106002.mp4,,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6106002.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6106002.jpg,,,,null,NAMIBIA,,,null,5.1,0,-30.5,13900.0,70890.0
MKAV,1915092,ROUND,5.08,K,VS2,16000.0,EX,EX,EX,NON,YES,NB,NO,EC0,10.88,10.96,62.9,58.0,6.87,null,GIA,null,NO,10.88*10.96-6.87,STK,null,null,34.5,14.5,41.6,44.5,Cloud  Crystal  Feather  Needle,6214931951,Additional clouds are not shown. Pinpoints are not shown.,MUMBAI,GIA 6214931951 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/1915092.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6214931951.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/1915092.html,https://d1wzmxdlubs910.cloudfront.net/VIDEOS_MP4/1915092.mp4,https://d1wzmxdlubs910.cloudfront.net/ASSET/1915092.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/1915092.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/1915092.jpg,,https://d1wzmxdlubs910.cloudfront.net/PLOTIMG/1915092.png,NO,0.28,NAMIBIA,,,8.2,5.08,0,-29.5,11280.0,57302.4
MKAV,6097003,ROUND,5.07,K,VS2,16000.0,EX,EX,EX,NON,YT1,NB,NO,EC0,10.96,11.02,61.2,59.0,6.73,null,GIA,null,null,10.96*11.02-6.73,MED TO STK,null,null,34.0,14.0,40.8,43.0,Crystal  Feather  Needle,6382937631,Pinpoints are not shown. Surface graining is not shown.,HONGKONG,GIA 6382937631 ,https://d1wzmxdlubs910.cloudfront.net/ARRIMG/6097003.jpg,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6382937631.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/6097003.html,,https://d1wzmxdlubs910.cloudfront.net/ASSET/6097003.jpg,https://d1wzmxdlubs910.cloudfront.net/HRTIMG/6097003.jpg,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6097003.jpg,,,,null,NAMIBIA,,,null,5.07,0,-28.0,11520.0,58406.4
MKAV,6119004,ROUND,5.01,L,VS2,12500.0,EX,EX,EX,NON,YT1,NB,NO,EC0,10.79,10.88,62.9,56.0,6.82,null,GIA,null,null,10.79*10.88-6.82,MED TO STK,null,null,36.5,16.5,40.6,43.0,Crystal  Feather  Cloud  Needle,6402445528,Additional clouds are not shown. Pinpoints are not shown.,HONGKONG,GIA 6402445528 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6402445528.jpg,,,,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/6119004.jpg,,,,null,,,,null,5.01,0,-29.0,8875.0,44463.75
MKAV,3841770,ROUND,5.03,Q-R,VS2,11000.0,VG,EX,VG,FNT,YES,NB,NO,EC0,10.63,10.75,63.0,60.0,6.73,null,GIA,null,NO,10.63*10.75-6.73,THK,null,null,37.5,15.5,40.2,42.0,Feather  Needle,6217863214,Pinpoints are not shown.,MUMBAI,GIA 6217863214 ,,https://d1wzmxdlubs910.cloudfront.net/CERTIMG/6217863214.jpg,https://d1wzmxdlubs910.cloudfront.net/VIDEOS/3841770.html,,https://d1wzmxdlubs910.cloudfront.net/ASSET/3841770.jpg,,https://d1wzmxdlubs910.cloudfront.net/DIAMONDIMG/3841770.jpg,,,NO,0.26,NAMIBIA,,,9.07,5.03,0,-55.4546,4900.0,24647.0
